News date,Price change
2012-05-30,-0.6375010000000003
2013-08-01,0.5950010000000034
2011-07-22,0.10999999999999943
2012-02-21,0.6424999999999983
2012-02-02,0.05999999999999872
2012-02-02,0.05999999999999872
2011-05-18,-0.1224989999999977
2010-10-20,-0.0625
2013-04-13,-0.8325010000000006
2012-11-16,0.41249799999999937
2012-01-23,0.490000000000002
2012-09-27,0.07500100000000032
2013-07-30,-4.185001
2013-06-26,0.20499799999999624
2013-11-08,0.15750100000000344
2011-03-09,-0.4799999999999969
2011-03-30,-0.22250000000000014
2013-11-06,-0.9674979999999991
2013-08-26,0.2975009999999969
2012-01-10,0.032498999999997835
2011-01-28,-0.012500000000002842
2011-03-22,0.15999899999999911
2012-10-01,-0.14749899999999627
2011-12-15,0.19250100000000003
2012-05-31,-0.34750000000000014
